Razão social,CNPJ,Classificação
1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTD,61.508.537/0001-51,Consumidor Especial
163 BEEF INDUSTRIA E COMERCIO DE CARNES LTD,11.610.856/0002-86,Consumidor Especial
2RL COMERCIO E INDUSTRIA DE BOMBAS HIDRAULICAS LTD,07.852.102/0001-84,Consumidor Especial
TRES CORACOES ALIMENTOS S.A.,63.310.411/0014-18,Consumidor Especial
3M DO BRASIL LTDA,45.985.371/0001-08,Consumidor Especial
3M MANAUS INDUSTRIA DE PRODUTOS QUIMICOS LTD,08.014.346/0001-50,Consumidor Especial
3PL BRASIL LOGISTICA S.A.,23.429.671/0001-78,Consumidor Especial
43 SA GRAFICA E EDITORA,82.641.606/0001-70,Consumidor Especial
8 EMBALAGENS PLASTICAS EIRELI,11.032.345/0001-43,Consumidor Especial
9INJET INJECAO DE PECAS PLASTICAS LTDA,07.591.645/0001-95,Consumidor Especial
FUNDICAO BORGHETTI LTDA,93.866.531/0001-42,Consumidor Especial
PARAGUACU TEXTIL LTDA,96.368.816/0002-22,Consumidor Especial
A. RAYMOND BRASIL LTDA,01.144.384/0001-89,Consumidor Especial
ASSOCIACAO ATLETICA BANCO DO BRASIL - SAO PAUL,61.049.250/0001-00,Consumidor Especial
A ABREU BENEFICIAMENTOS LTDA,01.585.178/0001-04,Consumidor Especial
AARC EMPREENDIMENTOS IMOBILIARIOS LTD,07.563.445/0001-29,Consumidor Especial
AB COMERCIO DE INSUMOS LTDA,81.175.416/0001-42,Consumidor Especial
AB SISTEMA DE FREIOS LTDA,13.625.300/0001-08,Consumidor Especial
AB PLAST MANUFATURADOS PLASTICOS LTD,76.343.748/0001-59,Consumidor Especial
ABATEDOURO BOM JESUS LTDA,77.606.911/0001-91,Consumidor Especial
VEREDA ALIMENTOS LTDA,04.454.667/0001-15,Consumidor Especial
ABAV-ABATEDOURO ATILIO VIVACQUA LTD,02.838.996/0001-34,Consumidor Especial
ABB POWER GRIDS BRASIL LTDA.,61.074.829/0001-23,Consumidor Especial
ABB AUTOMACAO LTDA,33.449.965/0001-15,Consumidor Especial
ABB ELETRIFICACAO LTDA,33.449.988/0001-20,Consumidor Especial
ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA,04.490.046/0001-97,Consumidor Especial
ABBOTT LABORATORIOS DO BRASIL LTD,56.998.701/0001-16,Consumidor Especial
ABC ARTEFATOS DE BORRACHA COELHO LTD,18.422.469/0001-84,Consumidor Especial
ABC GROUP DO BRASIL LTDA,02.679.320/0001-45,Consumidor Especial
AGUSTINI MATEUS DO ABC INDUSTRIA E COMERCIO DE VIDROS LTD,27.208.273/0001-82,Consumidor Especial
ASSOCIACAO BRASILEIRA DE EDUCACAO E CULTURA -ABE,60.982.352/0001-11,Consumidor Especial
ABES - SOCIEDADE BAIANA DE ENSINO SUPERIOR LTD,32.697.294/0001-49,Consumidor Especial
ABIMAR SUPERMERCADOS LTDA,00.508.070/0001-55,Consumidor Especial
