RAZAO,CNPJ,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
EVONIK BRASIL LTDA, 62.695.036/0040-09,EVONIK,24/09/1999,2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,FLORINDO CIBIN,7000,ACESSO PELA AV SAO JERONI 6000,R FLORINDO CIBIN 7000 ACESSO PELA AV SAO JERONI 6000,PARQUE LIBERDADE,AMERICANA,SP,13470437,11,31462188,19,34719900,ATIVA,0,GRANDE,1500000000,8,132
MOCAL MOAGEIRA DE MINERIOS CACHOEIRO LTDA, 27.075.910/0001-90,,08/06/1973,4693100,Comércio atacadista de mercadorias em geral| sem predominância de alimentos ou de insumos agropecuár,2062,Sociedade Empresária Limitada ,RUA,,PAULINO GASPARINI,200,,R PAULINO GASPARINI 200 A,CENTRO,VARGEM ALTA,ES,29295000,28,35111464,28,992515951,ATIVA,1,MÉDIA,12125000,3,7
INDUSTRIA DE BEBIDAS MESTRE ALVARO LTDA, 05.275.975/0001-46,,06/09/2002,1122401,Fabricação de refrigerantes,2062,Sociedade Empresária Limitada ,RUA,,ALBERTO SARTORIO,10,GALPAO02 03 04 06 E 07,RUA ALBERTO SARTORIO 10 GALPAO02 03 04 06 E 07,PORTAL DE JACARAIPE,SERRA,ES,29173750,27,996472397,27,32438700,ATIVA,1,GRANDE,30000000,2,498
COMPANHIA BRASILEIRA DE ESTIRENO, 61.079.232/0001-71,CBE,17/05/1966,2031200,Fabricação de resinas termoplásticas,2054,Sociedade Anônima Fechada ,AVENIDA,ENGENHEIRO,LUIZ CARLOS BERRINI,105,ANDAR 11 SALA CBE,AV ENGENHEIRO LUIZ CARLOS BERRINI 105 ANDAR 11 SALA CBE,CIDADE MONCOES,SAO PAULO,SP,4571010,11,25046100,13,33613107,ATIVA,1,MÉDIA,1500000000,7,70
GRANRIVA GRANITOS LTDA, 04.096.957/0001-34,GRANRIVA,09/10/2000,810002,Extração de granito e beneficiamento associado,2062,Sociedade Empresária Limitada ,AVENIDA,,GETULIO VARGAS,465,KM 66,AV GETULIO VARGAS 465 KM 66,CENTRO,COLATINA,ES,29700970,27,37215626,27,998488208,ATIVA,1,MÉDIA,3800000,2,53
DELO INDUSTRIA E COMERCIO LTDA, 01.856.241/0001-08,,14/04/1997,1741902,Fabricação de produtos de papel| cartolina| papel-cartão e papelão ondulado para uso comercial e de ,2062,Sociedade Empresária Limitada ,EST MUNIC,,REMIGIO OLIVOTTI,1145,,EST MUNIC REMIGIO OLIVOTTI 1145,BARREIRO,EXTREMA,MG,37640000,35,999712821,11,934225668,ATIVA,1,GRANDE,72000000,2,1293
COMPANHIA VALENCA INDUSTRIAL, 15.102.098/0001-65,,01/08/1966,1321900,Tecelagem de fios de algodão,2054,Sociedade Anônima Fechada ,ALAMEDA,,DOS UMBUZEIROS,408,,AL DOS UMBUZEIROS 408,CAMINHO DAS ARVORES,SALVADOR,BA,41820680,85,991565832,71,32718650,ATIVA,1,GRANDE,236000000,3,1376
MAPA DA AMAZONIA INDUSTRIA E COMERCIO DE SANEANTES LTDA., 01.548.960/0001-53,,22/11/1996,2062200,Fabricação de produtos de limpeza e polimento,2062,Sociedade Empresária Limitada ,AVENIDA,,MARGARITA,141,,AVENIDA MARGARITA 141,MONTE DAS OLIVEIRAS,MANAUS,AM,69092450,92,36713388,92,36486969,ATIVA,1,MÉDIA,30000000,4,208
MAQUINE EMPREENDIMENTOS S.A., 17.321.647/0003-80,OURO MINAS PALACE HOTEL,18/07/1991,5510801,Hotéis,2054,Sociedade Anônima Fechada ,AVENIDA,,CRISTIANO MACHADO,4001,HOT,AV CRISTIANO MACHADO 4001 HOT,IPIRANGA,BELO HORIZONTE,MG,31160413,31,34294740,31,34294272,ATIVA,1,GRANDE,41500000,2,935
COIMBRA IMPORTACAO E EXPORTACAO LTDA, 06.151.921/0001-31,DISTRIBUIDORA COIMBRA,12/03/2004,4637105,Comércio atacadista de massas alimentícias,2062,Sociedade Empresária Limitada ,AVENIDA,,MAMORE,415,,AV MAMORE 415,TRES MARIAS,PORTO VELHO,RO,76812415,68,999567221,68,999027418,ATIVA,1,GRANDE,640000000,5,2205
MAHLE METAL LEVE S.A., 60.476.884/0015-82,,30/11/2004,2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,2046,Sociedade Anônima Aberta ,AVENIDA,,TIRADENTES,251,CJ 1 251 CJ 1,AV TIRADENTES 251 CJ 1 251 CJ 1,DISTRITO INDUSTRIAL,ITAJUBA,MG,37504088,35,998115094,35,998096533,ATIVA,0,GRANDE,1500000000,5,3864
GYPSUM MINERACAO INDUSTRIA E COMERCIO LTDA, 24.443.608/0010-40,,12/02/2014,2392300,Fabricação de cal e gesso,2062,Sociedade Empresária Limitada ,RUA,,DARCY PEREIRA,,Q X LT 7 A 13,R DARCY PEREIRA SN Q X LT 7 A 13,SANTA CRUZ,RIO DE JANEIRO,RJ,23565190,21,994281902,,,ATIVA,1,MÉDIA,172000000,6,90
DOAL PLASTIC INDUSTRIA E COMERCIO LTDA, 71.619.928/0001-05,DOAL PLASTIC,31/05/1993,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,DIRCEU DIAS CARNEIRO,151,,AV DIRCEU DIAS CARNEIRO 151,DISTRITO INDUSTRIAL II,SANTA BARBARA D OESTE,SP,13457198,19,991933635,19,991009939,ATIVA,1,MÉDIA,30000000,3,420
ITALO SUPERMERCADOS LTDA, 04.768.477/0001-72,CENTER VIZI SUPERMERCADO,07/11/2001,4711302,Comércio varejista de mercadorias em geral| com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,RIO GRANDE DO SUL,109,C 109,AV RIO GRANDE DO SUL 109 C 109,CENTRO,DOIS VIZINHOS,PR,85660000,46,35363031,46,35240605,ATIVA,1,MÉDIA,340000000,2,122
UNINJET INDUSTRIA E COMERCIO DE PLASTICOS LTDA, 01.355.480/0001-76,,30/07/1996,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,FORTE DO ARAXA,253,,FORTE DO ARAXA,PARQUE INDUSTRIAL SAO LOURENCO,SAO PAULO,SP,8340170,11,996314934,11,971611701,ATIVA,1,MÉDIA,12125000,6,292
SUPERMERCADO DORLA LTDA  , 01.447.569/0001-62,,18/09/1996,4691500,Comércio atacadista de mercadorias em geral| com predominância de produtos alimentícios,2062,Sociedade Empresária Limitada ,AVENIDA,,VISCONDE DO RIO BRANCO,850,SOBRELOJA - SALA 03,AV VISCONDE DO RIO BRANCO 850 SOBRELOJA - SALA 03,BREJATUBA,GUARATUBA,PR,83280000,41,992588758,41,991435589,ATIVA,1,GRANDE,41500000,4,
REOBOTE RECUPERACAO DE UTENSILIOS PLASTICOS LTDA, 05.849.540/0001-68,,09/07/2003,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,2062,Sociedade Empresária Limitada ,AVENIDA,,MARCELO DINIZ XAVIER,451,,AV MARCELO DINIZ XAVIER 451,CALIFORNIA,BELO HORIZONTE,MG,30855075,31,33956749,31,35653580,ATIVA,1,PEQUENA,56700000,4,616
PLASC - PLASTICOS SANTA CATARINA LTDA, 79.427.589/0001-69,,21/07/1986,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,ALEXANDRE SERGIO GODINHO,700,,ALEXANDRE SERGIO GODINHO,MAR DAS PEDRAS,BIGUACU,SC,88160000,48,21069929,48,21069924,ATIVA,1,GRANDE,90000000,4,792
TOTAL SERVICE LOGISTICA BETIM LTDA, 07.216.100/0001-07,,03/02/2005,5211701,Armazéns gerais - emissão de warrant,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-381 FERNAO DIAS,,KM 488.6,RODOVIA BR-381 FERNAO DIAS S/N KM    488.6,DISTRITO INDUSTRIAL PAULO CAMILO SUL,BETIM,MG,32669055,31,999853019,31,995292891,ATIVA,1,MÉDIA,8900000,6,162
CAMARGO COMPANHIA DE EMBALAGENS LTDA., 05.437.703/0001-03,,13/12/2002,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,ALVARO COMERIN,51,,R ALVARO COMERIN 51,DISTRITO INDUSTRIAL,TIETE,SP,18530000,11,32852009,15,32855210,ATIVA,1,GRANDE,172000000,8,470
NHSILVA INDUSTRIA E EXPORTACAO LTDA, 12.082.881/0001-16,AMAGIL,15/06/2010,1065101,Fabricação de amidos e féculas de vegetais,2062,Sociedade Empresária Limitada ,RODOVIA,,MS 475 LT 630 SN,,KM 6 LINHA SANTA LUZIA,ROD MS 475 LT 630 SN KM 6 LINHA SANTA LUZIA,ZONA RURAL,NOVO HORIZONTE DO SUL,MS,79745000,67,34471110,44,36271248,ATIVA,1,MÉDIA,17230000,2,59
SORVETES LAMOIA LTDA, 26.262.847/0001-38,SORVETES LAMOIA,22/09/2016,1053800,Fabricação de sorvetes e outros gelados comestíveis,2062,Sociedade Empresária Limitada ,RUA,,3,,QUADRA B LOTE 07,R 03 SN QUADRA B LOTE 07,POLO INDUSTRIAL,PIUMA,ES,29285000,21,997565497,27,996907324,ATIVA,1,PEQUENA,7500000,3,34
